,game_and_track,value
1330,"Mario Kart 8--""Mount Wario""",saxophone:woodwinds
1331,"Mario Kart 7--""Rosalina's Ice World""",strings:strings
1332,"Pokémon Mystery Dungeon: Gates to Infinity--""Glacier Palace (Great Spire)""",strings:strings
1333,"Ace Combat 5: The Unsung War--""Ice Cage""",timpani:drums:percussion
1334,"Pokémon Mystery Dungeon: Gates to Infinity--""Great Glacier""",rapid_notes
1335,"Kirby's Epic Yarn--""Snowy Fields""",flute:woodwinds
1336,"Harvest Moon 64--""New Year’s Eve""",piano:piano
1337,"Harvest Moon 64--""Starry Night Festival""",flute:woodwinds
1338,"Harvest Moon 64--""Winter Season""",accordion
1339,"Tales of Symphonia--""Snow Light""",strings:strings
1340,"Stardew Valley--""Nocturne of Ice""",strings:strings
1341,"Stardew Valley--""The Wind Can Be Still""",aeolian
1342,"Stardew Valley--""Ancient""",sitar:plucked_strings
1343,"Stardew Valley--""Winter Festival""",harp:plucked_strings:strings
1344,"Stardew Valley--""Icicles""",synth_lead:synth
1345,"Stardew Valley--""Visitor to the Unknown""",electric_guitar:guitar
1346,"Legend of Zelda: Twilight Princess--""Snowpeak Ruins""",flute:woodwinds
1347,"Harvest Moon: A Wonderful Life--""Quiet Winter""",tambourine:metallic_percussion:percussion
1348,"Harvest Moon DS--""Winter""",flute:woodwinds
1349,"Harvest Moon 3D: A New Beginning--""Winter""",flute:woodwinds
1350,"Harvest Moon: Magical Melody--""Winter""",tambourine:metallic_percussion:percussion
1351,"Harvest Moon: Save the Homeland--""Winter (Town)""",pizz_strings:strings:plucked_strings
1352,"Harvest Moon: Tree of Tranquility--""Winter""",drumset:drums
1353,"Harvest Moon: Animal Parade--""Winter (Day)""",harp:plucked_strings:strings
1354,"Harvest Moon: Animal Parade--""Winter (Night)""",electric_piano:metallic_percussion:piano
1355,"Harvest Moon: Hero of Leaf Valley--""Winter""",acoustic_guitar:guitar:plucked_strings
1356,"Harvest Moon DS: Island of Happiness--""Winter""",piano
1357,"Harvest Moon DS: Sunshine Islands--""Winter""",electric_piano:metallic_percussion:piano
1358,"Harvest Moon: The Tale of Two Towns--""Winter""",strings:strings
1359,"Harvest Moon: Lost Valley--""Winter (Day)""",tambourine:metallic_percussion:percussion
1360,"Rune Factory: A Fantasy Harvest Moon--""Winter""",choral_synth:synth:vocals
1361,"Rune Factory 2--""Winter""",woodblock:auxiliary_percussion
1362,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",no_bass
1363,"Sonic Unleashed--""Cool Edge (Night)""",synth_bass:synth:bass
1364,"Super Mario Galaxy--""Freezeflame Galaxy (Ice)""",synth_arp:synth
1365,"Yooka-Laylee--""Glitterglaze Glacier""",horn:brass
1366,"Elder Scrolls II: Daggerfall--""Treading Winter""",harp:plucked_strings:strings
1367,"Persona 4--""Snowflakes""",electric_bass:bass
1368,"World of Warcraft: Wrath of the Lich King--""Ice Fortress""",strings:strings
1369,"Runescape 3--""Snowdrops""",cymbals:metallic_percussion:percussion
1370,"Persona 4--""Christmas Eve""",electric_guitar:guitar
1371,"Persona 5--""Christmas Eve [out]""",Christmas
1372,"Persona 5--""Christmas Eve [in]""",Christmas
1373,"Final Fantasy XIV--""Starlight Celebration""",strings:strings
1374,"Kingdom Hearts II Final Mix--""Christmas Town""",orchestra
1375,"Donkey Kong Country 3: Dixie Kong’s Double Trouble!--""Christmas Bonus Level""",electric_piano:metallic_percussion:piano
1376,"Overcooked! The Festive Seasoning--""Menu Music""",flute:woodwinds
1377,"Overcooked! 2--""Kevin’s Christmas Cracker Map""",clarinet:woodwinds
1378,"Overcooked! 2--""Kevin’s Christmas Cracker Level""",glockenspiel:metallic_percussion:percussion
1379,"Overcooked! The Festive Seasoning--""Level""",Christmas
1380,"Overcooked! The Festive Seasoning--""Onion Wildfire""",strings:strings
1381,"Pikmin 3--""Fortress of Festivity!""",crotales:metallic_percussion:percussion
1382,"Final Fantasy Tactics--""Under the Stars""",chimes:metallic_percussion:percussion
1383,"Romancing SaGa 3--""Boundaries""",bass_drum:drums
1384,"Unlimited Saga--""Theme for Laura""",chimes:metallic_percussion:percussion
1385,"Tales of Graces--""To a Sea of Dancing Snow""",celesta:metallic_percussion:percussion
1386,"Seiya Monogatari: Anearth Fantasy Stories--""Forest""",horn:brass
1387,"Napple Tale--""Snowball""",bells
1388,"SaGa Frontier 2--""Naturvolk""",shaker:auxiliary_percussion
1389,"Bravely Default--""Land of Immortality""",wind_chimes:metallic_percussion:percussion
1390,"Metroid Prime--""Ice Valley (Phendrana Drifts)""",choral_synth:synth:vocals
1391,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",chromatic_mediants
1392,"Pokémon X/Y--""Snowbelle City""",horn:brass
1393,"Final Fantasy XIII--""Lake Bresha""",xylophone:percussion
1394,"Kingdom Hearts II--""The Home of Dragons""",xylophone:percussion
1395,"Zwei: The Ilvard Insurrection--""Edge of Stars""",strings:strings
1396,"The Legend of Heroes: Trails of Cold Steel II--""Wintry Arrival""",treble_vocal_synth:vocals:synth
1397,"Final Fantasy X--""People of the North Pole""",piano:piano
1398,"Final Fantasy X-2--""Mt. Gagazet""",cymbals:metallic_percussion:percussion
1399,"Odin Sphere--""Battle on the Snowy Mountain""",strings:strings
1400,"Kantai Collection--""Winter Fleet""",sleigh_bells:metallic_percussion
1401,"Donkey Kong Country 2--""In a Snow-Bound Land""",electric_bass:bass
1402,"Stardew Valley--""Marimba of Frozen Bones""",shaker:auxiliary_percussion
1403,"Animal Crossing: New Horizons--""Toy Day""",trombone:brass
1404,"Ristar the Shooting Star--""Ring Rink, Planet Freon""",80s
1405,"Super Mario Odyssey--""Shiveria: Race Course Entrance""",snare:drums:percussion_drum
1406,"Super Mario 3D Land--""Snowball Park""",horn:brass
1407,"Donkey Kong Country--""Ice Cave Chant""",acoustic_bass:bass
1408,"Mario Party 3--""Chilly-Chilly Lake""",wind_chimes:metallic_percussion:percussion
1409,"Kirby Triple Deluxe--""Silver Snow Story""",synth_bass:synth:bass
1410,"Atelier Totori: The Adventurer of Arland--""Hepatica""",sleigh_bells:metallic_percussion
1411,"Monster Hunter Freedom Unite--""Pokke Village""",maracas
1412,"Paper Mario--""Cold Reception""",flute:woodwinds
1413,"Banjo-Kazooie--""Freezeezy Peak""",horn:brass
1414,"Kirby 64: The Crystal Shards--""Shiver Star""",brass:brass
1415,"Pokémon Diamond/Pearl--""Route 216""",sleigh_bells:metallic_percussion
1416,"Super Smash Brothers Melee--""Icicle Mountain""",synth_bass:synth:bass
1417,"Knight Arms--""Arsys Christmas Song""",FM:synth
1418,"Super Mario Kart--""Vanilla Lake""",piano:piano
1419,"Mario Kart 64--""Frappe Snowland""",clarinet:woodwinds
1420,"Kirby Air Ride--""Float Islands""",chimes:metallic_percussion:percussion
1421,"Kirby Air Ride--""Frozen Hillside""",sleigh_bells:metallic_percussion
1422,"Kirby and the Amazing Mirror--""Crystal and Ice""",xylophone:percussion
1423,"Kirby Canvas Curse--""Frozen Fantasy""",snare:drums:percussion_brushes
1424,"Baku Bomberman--""White Ice""",pan_flute:woodwinds
1425,"Donkey Kong Country--""Northern Hemispheres""",pizz_strings:strings:plucked_strings
1426,"Donkey Kong Country 3--""Frosty Frolics""",flute:woodwinds
1427,"Mother 2--""Winters""",flute:woodwinds
1428,"Chrono Trigger--""Singing Mountain""",choral_synth:synth:vocals
1429,"The Legend of Zelda: Four Swords--""Frozen Hyrule""",glockenspiel:metallic_percussion:percussion
1430,"Final Fantasy VI--""Terra’s Theme""",trumpet
1431,"Trials of Mana--""Another Winter""",chimes:metallic_percussion:percussion
1432,"Paper Mario--""Crystal Palace Crawl""",organ:organ
1433,"Revelations: Persona--""Snow Queen""",celesta:metallic_percussion:percussion
1434,"Sorcerian--""Cave I""",80s
1435,"Pokémon Diamond/Pearl--""Mt. Coronet""",rapid_notes
1436,"Pokémon Mystery Dungeon: Explorers of Sky--""Vast Ice Mountain Peak""",violin:strings
1437,"Soma Bringer--""Village of Snow""",piano
1438,"Final Fantasy Tactics--""Antidote""",pizz_strings:strings:plucked_strings
1439,"Pokémon Diamond/Pearl--""Route 216 (Night)""",tambourine:metallic_percussion:percussion
1440,"Captain Toad: Treasure Tracker--""Star Express""",square_wave:synth
1441,"Christmas Nights into Dreams--""Jack Frost's Chime""",electric_piano:metallic_percussion:piano
1442,"F-Zero--""White Land""",80s
1443,"Gradius Gaiden--""Snowfield""",strings:strings
1444,"Pop'n TwinBee: Rainbow Bell Adventures--""Aurora World""",strings:strings
1445,"Mega Man & Bass--""Coldman Stage""",synth_lead:synth
1446,"Mega Man Zero 2--""Ice Brain""",piano
1447,"Super Street Fighter IV--""Theme of Zangief""",electric_organ:organ
1448,"Mega Man X2--""Crystal Snail Stage""",drumset:drums
1449,"Mega Man X4--""Frost Walrus Stage 2""",drumset:drums
1450,"Mega Man Zero 3--""Trail on Powdery Snow""",train
1451,"Mega Man ZX--""Wonder Panorama""",glockenspiel:metallic_percussion:percussion
1452,"Castle Crashers--""Winter Bliss""",sweeps
1453,"Persona 3 FES--""The Snow Queen""",electric_guitar:guitar
1454,"Mushihimesama Futari--""Sea of Frozen Crystals""",synth_pad:synth
1455,"Revelations: Persona--""Ice Castle""",marimba:percussion
1456,"Sonic Unleashed--""Cool Edge (Day)""",sweeps
1457,"Gurumin--""Jun Jun Jungle Gym""",drumset:drums
1458,"Diddy Kong Racing--""Frosty Village""",saxophone:woodwinds
1459,"Mario Kart 8--""Mount Wario""",jazz_orchestra
1460,"Mario Kart 7--""Rosalina's Ice World""",sweeps
1461,"Pokémon Mystery Dungeon: Gates to Infinity--""Glacier Palace (Great Spire)""",choir:vocals
1462,"Ace Combat 5: The Unsung War--""Ice Cage""",drumset:drums
1463,"Pokémon Mystery Dungeon: Gates to Infinity--""Great Glacier""",pennywhistle:woodwinds
1464,"Kirby's Epic Yarn--""Snowy Fields""",xylophone:percussion
1465,"Harvest Moon 64--""New Year’s Eve""",acoustic_guitar:guitar:plucked_strings
1466,"Harvest Moon 64--""Starry Night Festival""",woodblock:auxiliary_percussion
1467,"Harvest Moon 64--""Winter Season""",strings:strings
1468,"Tales of Symphonia--""Snow Light""",flute:woodwinds
1469,"Stardew Valley--""Nocturne of Ice""",backward_playback
1470,"Stardew Valley--""The Wind Can Be Still""",Stranger_Things
1471,"Stardew Valley--""Ancient""",drumset:drums
1472,"Stardew Valley--""Winter Festival""",flute:woodwinds
1473,"Stardew Valley--""Visitor to the Unknown""",pan_flute:woodwinds
1474,"Harvest Moon: A Wonderful Life--""Quiet Winter""",electric_piano:metallic_percussion:piano
1475,"Harvest Moon DS--""Winter""",wind_chimes:metallic_percussion:percussion
1476,"Harvest Moon 3D: A New Beginning--""Winter""",chimes:metallic_percussion:percussion
1477,"Harvest Moon: Magical Melody--""Winter""",harp:plucked_strings:strings
1478,"Harvest Moon: Save the Homeland--""Winter (Town)""",strings:strings
1479,"Harvest Moon: Tree of Tranquility--""Winter""",wind_chimes:metallic_percussion:percussion
1480,"Harvest Moon: Animal Parade--""Winter (Day)""",treble_vocal_synth:vocals:synth
1481,"Harvest Moon: Animal Parade--""Winter (Night)""",clarinet:woodwinds
1482,"Harvest Moon: Hero of Leaf Valley--""Winter""",clarinet:woodwinds
1483,"Harvest Moon DS: Island of Happiness--""Winter""",electric_piano:metallic_percussion:piano
1484,"Harvest Moon DS: Sunshine Islands--""Winter""",sleigh_bells:metallic_percussion
1485,"Harvest Moon: The Tale of Two Towns--""Winter""",acoustic_guitar:guitar:plucked_strings
1486,"Harvest Moon: Lost Valley--""Winter (Day)""",synth_arp:synth
1487,"Rune Factory: A Fantasy Harvest Moon--""Winter""",strings:strings
1488,"Rune Factory 2--""Winter""",organ:organ
1489,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",mandolin:guitar
1490,"Sonic Unleashed--""Cool Edge (Night)""",synth_brass:synth:brass
1491,"Super Mario Galaxy--""Freezeflame Galaxy (Ice)""",treble_vocal_synth:vocals:synth
1492,"Yooka-Laylee--""Glitterglaze Glacier""",chromatic_mediants
1493,"Elder Scrolls II: Daggerfall--""Treading Winter""",horn:brass
1494,"World of Warcraft: Wrath of the Lich King--""Ice Fortress""",piano
1495,"Runescape 3--""Snowdrops""",piano
1496,"Persona 4--""Christmas Eve""",electric_bass:bass
1497,"Final Fantasy XIV--""Starlight Celebration""",crotales:metallic_percussion:percussion
1498,"Kingdom Hearts II Final Mix--""Christmas Town""",wind_chimes:metallic_percussion:percussion
1499,"Donkey Kong Country 3: Dixie Kong’s Double Trouble!--""Christmas Bonus Level""",electric_bass:bass
1500,"Overcooked! The Festive Seasoning--""Menu Music""",horn:brass
1501,"Overcooked! 2--""Kevin’s Christmas Cracker Map""",glockenspiel:metallic_percussion:percussion
1502,"Overcooked! 2--""Kevin’s Christmas Cracker Level""",xylophone:percussion
1503,"Overcooked! The Festive Seasoning--""Onion Wildfire""",celesta:metallic_percussion:percussion
1504,"Pikmin 3--""Fortress of Festivity!""",glockenspiel:metallic_percussion:percussion
1505,"Final Fantasy Tactics--""Under the Stars""",harp:plucked_strings:strings
1506,"Unlimited Saga--""Theme for Laura""",harp:plucked_strings:strings
1507,"Seiya Monogatari: Anearth Fantasy Stories--""Forest""",harp:plucked_strings:strings
1508,"Napple Tale--""Snowball""",rapid_notes
1509,"SaGa Frontier 2--""Naturvolk""",cymbals:metallic_percussion:percussion
1510,"Bravely Default--""Land of Immortality""",treble_vocal_synth:vocals:synth
1511,"Metroid Prime--""Ice Valley (Phendrana Drifts)""",harp:plucked_strings:strings
1512,"Pokémon X/Y--""Snowbelle City""",sleigh_bells:metallic_percussion
1513,"Final Fantasy XIII--""Lake Bresha""",orchestra
1514,"Kingdom Hearts II--""The Home of Dragons""",harp:plucked_strings:strings
1515,"Zwei: The Ilvard Insurrection--""Edge of Stars""",accordion
1516,"The Legend of Heroes: Trails of Cold Steel II--""Wintry Arrival""",flute:woodwinds
1517,"Final Fantasy X--""People of the North Pole""",no_bass
1518,"Final Fantasy X-2--""Mt. Gagazet""",horn:brass
1519,"Odin Sphere--""Battle on the Snowy Mountain""",orchestra
1520,"Kantai Collection--""Winter Fleet""",harp:plucked_strings:strings
1521,"Donkey Kong Country 2--""In a Snow-Bound Land""",glockenspiel:metallic_percussion:percussion
1522,"Stardew Valley--""Marimba of Frozen Bones""",wind_effect
1523,"Animal Crossing: New Horizons--""Toy Day""",electric_piano:metallic_percussion:piano
1524,"Ristar the Shooting Star--""Ring Rink, Planet Freon""",chiptune
1525,"Super Mario Odyssey--""Shiveria: Race Course Entrance""",accordion
1526,"Super Mario 3D Land--""Snowball Park""",strings:strings
1527,"Donkey Kong Country--""Ice Cave Chant""",sus_chords
1528,"Mario Party 3--""Chilly-Chilly Lake""",sleigh_bells:metallic_percussion
1529,"Kirby Triple Deluxe--""Silver Snow Story""",chimes:metallic_percussion:percussion
1530,"Atelier Totori: The Adventurer of Arland--""Hepatica""",pizz_strings:strings:plucked_strings
1531,"Monster Hunter Freedom Unite--""Pokke Village""",shakuhachi:woodwinds
1532,"Paper Mario--""Cold Reception""",pizz_strings:strings:plucked_strings
1533,"Banjo-Kazooie--""Freezeezy Peak""",flute:woodwinds
1534,"Kirby 64: The Crystal Shards--""Shiver Star""",pan_flute:woodwinds
1535,"Pokémon Diamond/Pearl--""Route 216""",chimes:metallic_percussion:percussion
1536,"Super Smash Brothers Melee--""Icicle Mountain""",drumset:drums
1537,"Knight Arms--""Arsys Christmas Song""",minor_iv
1538,"Super Mario Kart--""Vanilla Lake""",shaker:auxiliary_percussion
1539,"Mario Kart 64--""Frappe Snowland""",acoustic_bass:bass
1540,"Kirby Air Ride--""Float Islands""",electric_organ:organ
1541,"Kirby Air Ride--""Frozen Hillside""",harp:plucked_strings:strings
1542,"Kirby and the Amazing Mirror--""Crystal and Ice""",electric_piano:metallic_percussion:piano
1543,"Kirby Canvas Curse--""Frozen Fantasy""",glockenspiel:metallic_percussion:percussion
1544,"Baku Bomberman--""White Ice""",harp:plucked_strings:strings
1545,"Donkey Kong Country--""Northern Hemispheres""",bass_drum:drums
1546,"Donkey Kong Country 3--""Frosty Frolics""",electric_piano:metallic_percussion:piano
1547,"Mother 2--""Winters""",electric_organ:organ
1548,"Chrono Trigger--""Singing Mountain""",no_drums
1549,"The Legend of Zelda: Four Swords--""Frozen Hyrule""",acoustic_bass:bass
1550,"Final Fantasy VI--""Terra’s Theme""",flute:woodwinds
1551,"Trials of Mana--""Another Winter""",dorian
1552,"Paper Mario--""Crystal Palace Crawl""",treble_vocal_synth:vocals:synth
1553,"Revelations: Persona--""Snow Queen""",lament
1554,"Sorcerian--""Cave I""",rapid_notes
1555,"Pokémon Diamond/Pearl--""Mt. Coronet""",shaker:auxiliary_percussion
1556,"Pokémon Mystery Dungeon: Explorers of Sky--""Vast Ice Mountain Peak""",chimes:metallic_percussion:percussion
1557,"Soma Bringer--""Village of Snow""",harpsichord:plucked_strings
1558,"Final Fantasy Tactics--""Antidote""",horn:brass
1559,"Pokémon Diamond/Pearl--""Route 216 (Night)""",shaker:auxiliary_percussion
1560,"Christmas Nights into Dreams--""Jack Frost's Chime""",polka
1561,"F-Zero--""White Land""",tambourine:metallic_percussion:percussion
1562,"Gradius Gaiden--""Snowfield""",Top_Gun
1563,"Pop'n TwinBee: Rainbow Bell Adventures--""Aurora World""",treble_vocal_synth:vocals:synth
1564,"Mega Man & Bass--""Coldman Stage""",extended_tertian
1565,"Mega Man Zero 2--""Ice Brain""",lament
1566,"Super Street Fighter IV--""Theme of Zangief""",drumset:drums
1567,"Mega Man X4--""Frost Walrus Stage 2""",electric_bass:bass
1568,"Mega Man Zero 3--""Trail on Powdery Snow""",offbeat_8ths
1569,"Mega Man ZX--""Wonder Panorama""",sus_tonic
1570,"Castle Crashers--""Winter Bliss""",strings:strings
1571,"Persona 3 FES--""The Snow Queen""",synth_arp:synth
1572,"Revelations: Persona--""Ice Castle""",handclaps:drums
1573,"Gurumin--""Jun Jun Jungle Gym""",electric_bass:bass
1574,"Diddy Kong Racing--""Frosty Village""",piano:piano
1575,"Mario Kart 8--""Mount Wario""",electric_guitar:guitar
1576,"Mario Kart 7--""Rosalina's Ice World""",sleigh_bells:metallic_percussion
1577,"Pokémon Mystery Dungeon: Gates to Infinity--""Glacier Palace (Great Spire)""",horn:brass
1578,"Ace Combat 5: The Unsung War--""Ice Cage""",glockenspiel:metallic_percussion:percussion
1579,"Pokémon Mystery Dungeon: Gates to Infinity--""Great Glacier""",glockenspiel:metallic_percussion:percussion
1580,"Kirby's Epic Yarn--""Snowy Fields""",English_horn:woodwinds
1581,"Harvest Moon 64--""New Year’s Eve""",strings:strings
1582,"Harvest Moon 64--""Starry Night Festival""",strings:strings
1583,"Harvest Moon 64--""Winter Season""",guiro:auxiliary_percussion:percussion
1584,"Tales of Symphonia--""Snow Light""",glockenspiel:metallic_percussion:percussion
1585,"Stardew Valley--""Nocturne of Ice""",analog_synth:synth
1586,"Stardew Valley--""Ancient""",tambourine:metallic_percussion:percussion
1587,"Stardew Valley--""Winter Festival""",chimes:metallic_percussion:percussion
1588,"Stardew Valley--""Visitor to the Unknown""",drumset:drums
1589,"Harvest Moon: A Wonderful Life--""Quiet Winter""",shaker:auxiliary_percussion
1590,"Harvest Moon DS--""Winter""",pizz_strings:strings:plucked_strings
1591,"Harvest Moon: Magical Melody--""Winter""",clarinet:woodwinds
1592,"Harvest Moon: Save the Homeland--""Winter (Town)""",harp:plucked_strings:strings
1593,"Harvest Moon: Tree of Tranquility--""Winter""",toy_piano:metallic_percussion:piano
1594,"Harvest Moon: Animal Parade--""Winter (Day)""",piano
1595,"Harvest Moon: Animal Parade--""Winter (Night)""",treble_vocal_synth:vocals:synth
1596,"Harvest Moon: Hero of Leaf Valley--""Winter""",triangle:metallic_percussion:percussion
1597,"Harvest Moon DS: Island of Happiness--""Winter""",flute:woodwinds
1598,"Harvest Moon DS: Sunshine Islands--""Winter""",flute:woodwinds
1599,"Harvest Moon: The Tale of Two Towns--""Winter""",hand_drums:drums
1600,"Harvest Moon: Lost Valley--""Winter (Day)""",synth_lead:synth
1601,"Rune Factory: A Fantasy Harvest Moon--""Winter""",acoustic_guitar:guitar:plucked_strings
1602,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",strings:strings
1603,"Sonic Unleashed--""Cool Edge (Night)""",drumset:drums
1604,"Yooka-Laylee--""Glitterglaze Glacier""",minor_iv
1605,"Elder Scrolls II: Daggerfall--""Treading Winter""",strings:strings
1606,"World of Warcraft: Wrath of the Lich King--""Ice Fortress""",harp:plucked_strings:strings
1607,"Runescape 3--""Snowdrops""",recorder:woodwinds
1608,"Persona 4--""Christmas Eve""",Christmas
1609,"Final Fantasy XIV--""Starlight Celebration""",celesta:metallic_percussion:percussion
1610,"Kingdom Hearts II Final Mix--""Christmas Town""",sleigh_bells:metallic_percussion
1611,"Donkey Kong Country 3: Dixie Kong’s Double Trouble!--""Christmas Bonus Level""",sleigh_bells:metallic_percussion
1612,"Overcooked! The Festive Seasoning--""Menu Music""",celesta:metallic_percussion:percussion
1613,"Overcooked! 2--""Kevin’s Christmas Cracker Map""",chimes:metallic_percussion:percussion
1614,"Overcooked! 2--""Kevin’s Christmas Cracker Level""",strings:strings
1615,"Overcooked! The Festive Seasoning--""Onion Wildfire""",flute:woodwinds
1616,"Pikmin 3--""Fortress of Festivity!""",celesta:metallic_percussion:percussion
1617,"Unlimited Saga--""Theme for Laura""",orchestra
1618,"Seiya Monogatari: Anearth Fantasy Stories--""Forest""",flute:woodwinds
1619,"Napple Tale--""Snowball""",flute:woodwinds
1620,"SaGa Frontier 2--""Naturvolk""",celesta:metallic_percussion:percussion
1621,"Bravely Default--""Land of Immortality""",pennywhistle:woodwinds
1622,"Metroid Prime--""Ice Valley (Phendrana Drifts)""",rapid_notes
1623,"Pokémon X/Y--""Snowbelle City""",flute:woodwinds
1624,"Final Fantasy XIII--""Lake Bresha""",glockenspiel:metallic_percussion:percussion
1625,"Kingdom Hearts II--""The Home of Dragons""",pentatonic
1626,"Zwei: The Ilvard Insurrection--""Edge of Stars""",chimes:metallic_percussion:percussion
1627,"The Legend of Heroes: Trails of Cold Steel II--""Wintry Arrival""",kalimba:metallic_percussion:percussion
1628,"Final Fantasy X-2--""Mt. Gagazet""",flute:woodwinds
1629,"Odin Sphere--""Battle on the Snowy Mountain""",trumpet
1630,"Kantai Collection--""Winter Fleet""",trumpet
1631,"Donkey Kong Country 2--""In a Snow-Bound Land""",pizz_strings:strings:plucked_strings
1632,"Stardew Valley--""Marimba of Frozen Bones""",drumset:drums
1633,"Animal Crossing: New Horizons--""Toy Day""",accordion
1634,"Ristar the Shooting Star--""Ring Rink, Planet Freon""",glockenspiel:metallic_percussion:percussion
1635,"Super Mario Odyssey--""Shiveria: Race Course Entrance""",violin:strings
1636,"Super Mario 3D Land--""Snowball Park""",marimba:percussion
1637,"Mario Party 3--""Chilly-Chilly Lake""",violin:strings
1638,"Kirby Triple Deluxe--""Silver Snow Story""",marimba:percussion
1639,"Atelier Totori: The Adventurer of Arland--""Hepatica""",harp:plucked_strings:strings
1640,"Monster Hunter Freedom Unite--""Pokke Village""",hand_drums:drums
1641,"Paper Mario--""Cold Reception""",gliss
1642,"Banjo-Kazooie--""Freezeezy Peak""",saxophone:woodwinds
1643,"Kirby 64: The Crystal Shards--""Shiver Star""",sleigh_bells:metallic_percussion
1644,"Pokémon Diamond/Pearl--""Route 216""",strings:strings
1645,"Super Smash Brothers Melee--""Icicle Mountain""",sweeps
1646,"Mario Kart 64--""Frappe Snowland""",tambourine:metallic_percussion:percussion
1647,"Kirby Air Ride--""Float Islands""",strings:strings
1648,"Kirby Air Ride--""Frozen Hillside""",glockenspiel:metallic_percussion:percussion
1649,"Kirby and the Amazing Mirror--""Crystal and Ice""",synth_lead:synth
1650,"Baku Bomberman--""White Ice""",gliss
1651,"Donkey Kong Country--""Northern Hemispheres""",field_drum:drums
1652,"Donkey Kong Country 3--""Frosty Frolics""",80s
1653,"Mother 2--""Winters""",choral_synth:synth:vocals
1654,"The Legend of Zelda: Four Swords--""Frozen Hyrule""",snare:drums:percussion_drum
1655,"Final Fantasy VI--""Terra’s Theme""",horn:brass
1656,"Paper Mario--""Crystal Palace Crawl""",crotales:metallic_percussion:percussion
1657,"Revelations: Persona--""Snow Queen""",glockenflute
1658,"Sorcerian--""Cave I""",gated_snare:drums:percussion:drums
1659,"Pokémon Diamond/Pearl--""Mt. Coronet""",electric_bass:bass
1660,"Pokémon Mystery Dungeon: Explorers of Sky--""Vast Ice Mountain Peak""",glockenspiel:metallic_percussion:percussion
1661,"Soma Bringer--""Village of Snow""",electric_bass:bass
1662,"Final Fantasy Tactics--""Antidote""",bass_drum:drums
1663,"Pokémon Diamond/Pearl--""Route 216 (Night)""",drumset:drums
1664,"Christmas Nights into Dreams--""Jack Frost's Chime""",electric_organ:organ
1665,"F-Zero--""White Land""",claves:auxiliary_percussion:percussion
1666,"Mega Man & Bass--""Coldman Stage""",lament
1667,"Mega Man Zero 2--""Ice Brain""",synth_arp:synth
1668,"Mega Man X4--""Frost Walrus Stage 2""",wind_chimes:metallic_percussion:percussion
1669,"Mega Man Zero 3--""Trail on Powdery Snow""",synth_lead:synth
1670,"Mega Man ZX--""Wonder Panorama""",treble_voice:vocals
1671,"Castle Crashers--""Winter Bliss""",drumset:drums
1672,"Revelations: Persona--""Ice Castle""",sleigh_bells:metallic_percussion
1673,"Gurumin--""Jun Jun Jungle Gym""",whistle
1674,"Diddy Kong Racing--""Frosty Village""",chimes:metallic_percussion:percussion
1675,"Mario Kart 7--""Rosalina's Ice World""",handclaps:drums
1676,"Pokémon Mystery Dungeon: Gates to Infinity--""Glacier Palace (Great Spire)""",timpani:drums:percussion
1677,"Ace Combat 5: The Unsung War--""Ice Cage""",distorted_drums:drums
1678,"Pokémon Mystery Dungeon: Gates to Infinity--""Great Glacier""",orchestra
1679,"Kirby's Epic Yarn--""Snowy Fields""",piano
1680,"Harvest Moon 64--""Winter Season""",clarinet:woodwinds
1681,"Stardew Valley--""Nocturne of Ice""",clarinet:woodwinds
1682,"Stardew Valley--""Ancient""",rock
1683,"Stardew Valley--""Winter Festival""",horn:brass
1684,"Stardew Valley--""Visitor to the Unknown""",analog_synth:synth
1685,"Harvest Moon: A Wonderful Life--""Quiet Winter""",hand_drums:drums
1686,"Harvest Moon DS--""Winter""",oboe:woodwinds
1687,"Harvest Moon: Magical Melody--""Winter""",triangle:metallic_percussion:percussion
1688,"Harvest Moon: Save the Homeland--""Winter (Town)""",trumpet
1689,"Harvest Moon: Tree of Tranquility--""Winter""",synth_bass:synth:bass
1690,"Harvest Moon: Animal Parade--""Winter (Day)""",oboe:woodwinds
1691,"Harvest Moon: Animal Parade--""Winter (Night)""",tambourine:metallic_percussion:percussion
1692,"Harvest Moon: Hero of Leaf Valley--""Winter""",tambourine:metallic_percussion:percussion
1693,"Harvest Moon DS: Sunshine Islands--""Winter""",electric_organ:organ
1694,"Harvest Moon: The Tale of Two Towns--""Winter""",shaker:auxiliary_percussion
1695,"Harvest Moon: Lost Valley--""Winter (Day)""",square_wave:synth
1696,"Rune Factory: A Fantasy Harvest Moon--""Winter""",triangle:metallic_percussion:percussion
1697,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",harpsichord:plucked_strings
1698,"Sonic Unleashed--""Cool Edge (Night)""",strings:strings
1699,"Yooka-Laylee--""Glitterglaze Glacier""",clarinet:woodwinds
1700,"Elder Scrolls II: Daggerfall--""Treading Winter""",flute:woodwinds
1701,"World of Warcraft: Wrath of the Lich King--""Ice Fortress""",oboe:woodwinds
1702,"Runescape 3--""Snowdrops""",oboe:woodwinds
